request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15640710.94,affordable_with_plan,installments,2025-08-06:1148106.67|2025-09-05:1148106.67|2025-10-05:1148106.67|2025-11-04:1148106.67|2025-12-04:1148106.67|2026-01-03:1148106.67|2026-02-02:1148106.67|2026-03-04:1148106.67|2026-04-03:1148106.67|2026-05-03:1148106.67|2026-06-02:1148106.67|2026-07-02:1148106.67|2026-08-01:1148106.67|2026-08-31:1148106.67|2026-09-30:1148106.67,2025-08-03,none,"Use 15 installments of IDR 1148106.67, starting 03 August 2025. This leaves at least IDR 97400929.99 available."
request_27,6663.49,affordable_with_plan,partial_payment,2026-07-05:6663.49|2026-07-05:6.51,2026-07-05,none,"Pay ZAR 6663.49 today, and the rest later. This protects the ZAR 20500.00 minimum."
request_28,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 1100.00 minimum protected.
request_29,51473.68,affordable_with_plan,installments,2025-11-04:3778.43|2025-12-04:3778.43|2026-01-03:3778.43|2026-02-02:3778.43|2026-03-04:3778.43|2026-04-03:3778.43|2026-05-03:3778.43|2026-06-02:3778.43|2026-07-02:3778.43|2026-08-01:3778.43|2026-08-31:3778.43|2026-09-30:3778.43|2026-10-30:3778.43|2026-11-29:3778.43|2026-12-29:3778.43,2025-11-04,none,"Use 15 installments of ZAR 3778.43, starting 04 November 2025. This leaves at least ZAR 98426.38 available."
request_30,774.44,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 06 April 2026. This leaves at least USD 2946.50 available."
request_31,13835859.38,affordable_with_plan,installments,2024-09-10:1020643.81|2024-10-08:1020643.81|2024-11-05:1020643.81|2024-12-03:1020643.81|2024-12-31:1020643.81|2025-01-28:1020643.81|2025-02-25:1020643.81|2025-03-25:1020643.81|2025-04-22:1020643.81|2025-05-20:1020643.81|2025-06-17:1020643.81|2025-07-15:1020643.81|2025-08-12:1020643.81|2025-09-09:1020643.81|2025-10-07:1020643.81|2025-11-04:1020643.81|2025-12-02:1020643.81|2025-12-30:1020643.81|2026-01-27:1020643.81|2026-02-24:1020643.81|2026-03-24:1020643.81,,none,"Use 21 installments of IDR 1020643.81, starting today. This leaves at least IDR 27367328.57 available."
request_32,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the ZAR 35700.00 minimum protected.
request_33,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 102100.00 minimum protected.
request_34,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 138500.00 minimum protected.
request_35,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 106400.00 minimum protected.
request_36,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the USD 2400.00 minimum protected.
request_37,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the IDR 17056200.00 minimum protected.
request_38,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 400.00 minimum protected.
request_39,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 213400.00 minimum protected.
request_40,850.54,affordable_with_plan,installments,2024-06-20:72.50|2024-07-18:72.50|2024-08-15:72.50|2024-09-12:72.50|2024-10-10:72.50|2024-11-07:72.50|2024-12-05:72.50|2025-01-02:72.50|2025-01-30:72.50|2025-02-27:72.50|2025-03-27:72.50|2025-04-24:72.50|2025-05-22:72.50|2025-06-19:72.50|2025-07-17:72.50|2025-08-14:72.50|2025-09-11:72.50|2025-10-09:72.50|2025-11-06:72.50|2025-12-04:72.50|2026-01-01:72.50,,none,"Use 21 installments of EUR 72.50, starting today. This leaves at least EUR 2133.50 available."
request_41,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the IDR 25366600.00 minimum protected.
request_42,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 113100.00 minimum protected.
request_43,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the IDR 21398000.00 minimum protected.
request_44,74469.53,affordable_with_plan,installments,2025-02-18:7025.33|2025-03-20:7025.33|2025-04-19:7025.33|2025-05-19:7025.33|2025-06-18:7025.33|2025-07-18:7025.33|2025-08-17:7025.33|2025-09-16:7025.33|2025-10-16:7025.33|2025-11-15:7025.33|2025-12-15:7025.33|2026-01-14:7025.33|2026-02-13:7025.33|2026-03-15:7025.33|2026-04-14:7025.33,,none,"Use 15 installments of INR 7025.33, starting today. This leaves at least INR 136384.01 available."
